"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"A",0.423685610865516,0.586367332404634,-0.358369685005548,0.615466223789689,0.963118868711877,0.230751107558725,-0.914894412652878,0.141069972307832,1.82550777384228,1.94934584935819
"B",-0.112701653091189,1.47483034228135,-0.592532510747265,0.931747872658946,1.10375693493886,-0.430546517503704,-0.58704361357681,0.270577009382591,1.56906082979368,2.41204450510903
"C",-0.41266092545439,1.8354982113601,0.534269845800603,-0.171254177312374,0.22195920357003,0.731101147004911,-1.53167593032152,-2.14251362038142,1.10243394113636,0.249459950872411
"D",-1.1986990104427,1.77794685444955,-1.64748051520354,2.63522945398831,-0.522725856295121,0.36575189112234,-0.0856438365201102,-1.7428174330664,1.15469012385703,-0.0155999112359092
"E",-3.24327511856052,1.70892517705315,-1.66837248732461,0.662058775634514,1.29477914457876,-0.948125091304884,-0.611811790174768,-2.48761435376225,2.10909418545288,-0.433320584966325
"F",-3.10057134810669,2.55484607492296,-2.14790648432307,-1.83847258680193,2.65875251397906,-0.928585585619057,0.734829229648801,-0.725858463557677,1.77610193395322,1.98323622563223
"G",-2.28451226464467,2.02045839250783,-2.65628837354839,0.116745853614178,2.02937057188473,-1.34158219620976,-0.106416180174638,0.0603496636877645,1.6381474405215,1.706457104216
"H",-2.49541390900677,2.00582335875222,-1.52408551222845,-0.0149146833955456,2.01340861903204,-1.47944821319465,-0.683995379968,-0.431891311415287,1.43619753165776,1.76641553788525
"I",-2.71188112275864,2.11369300249484,-1.78233098598273,-0.758957665286361,1.16106280769084,-1.19786259004493,-1.42646316439013,0.0526879708038535,1.90699942909328,1.16173749565164
"J",-2.72691521980227,2.08268450853443,-1.79032515434494,-0.748279103740759,1.14768022554405,-1.14221190373703,-1.44516653361462,0.0577486969150125,1.91960512269878,1.18444836210992
"K",-1.91116868006981,2.00382387383043,-1.67671500814007,-0.127460531702985,1.81151625927294,-0.937372021870678,-2.27469624589952,-0.271209686674801,1.06544639980893,1.4008212522779
"L",-4.96462709860105,1.63870183798683,0.279204173801951,-0.795273900609092,0.435091659557303,-1.02633500922562,0.967621160136798,-1.79553416285813,3.46592243328,0.799853147715043
"M",-3.82340592875113,0.331140702445708,-0.361651461185023,-1.85553993435632,1.6937860186408,0.272017112747882,-2.83595956287597,-2.22132279210275,2.44485275194158,-0.949203989263958
"N",0.999806867878111,-0.915347745549267,1.47325023065138,-0.233098696645413,-0.406014562933794,0.683234192851259,-3.58927884392897,-2.19181063371364,-0.71409939429626,3.24115492895552
"O",0.420576307107757,-1.60255779554154,1.40575010837941,-0.626841737023476,-1.12253180670533,0.464537281199226,-3.61257636908816,-1.75068921588335,-0.584899249075867,2.98929413525813
"P",-1.58937546384474,-0.644794023742954,1.40762522273281,1.04063589765488,-0.317328669817788,0.995631426820806,-1.45039607200738,-0.513488062925531,-0.869221778133664,1.50135694746242
"Q",-0.156599693599014,-0.0285218453839279,0.887481453805433,-0.477517723534531,-1.08398066393562,0.719154935660793,-2.33494542704341,-1.41073406481467,-2.7384065033578,1.40173616657603
"R",-1.12830544905246,-0.253064965778564,1.07603096651237,-0.600360221482113,-1.154858301415,0.486213674263096,-2.9533776166382,-2.45780406437554,-1.84215045620093,1.76429074146711
"S",-1.43942012366489,0.44024035195197,1.05754123137928,-0.466354248487894,-0.694703938896504,0.771642757156643,-2.40916928761235,0.74555558582769,-3.41934357810187,2.63717945547211
"T",3.29941793055837,1.33132742189209,1.71052947586979,0.219397801975393,1.53965556549828,0.349031513446153,0.193926845216146,-3.19984902709251,-0.101269959982848,-0.289852437420628
"U",-2.29400860006066,0.36682095112269,2.3398776935892,1.16442919748751,1.29545153459804,0.496854663140118,3.36066461716599,-1.28899944029284,0.397489383174924,-2.98409323075272
"V",-1.52065497511527,0.351397912347704,2.00385692622065,1.72685412077071,1.67787235201856,1.0976471687492,2.44764968206514,-0.978142267186285,0.34825488114708,-3.01118031510702
"W",-3.06320226405173,1.01711248795054,2.75895078633851,1.29500302365731,0.4809379318805,-0.416963130395275,2.56000840610508,-0.956707354894592,0.320325863125506,-3.429240397103
"X",-0.49276751177467,1.16230172417422,2.98447329754976,2.98610982398251,1.29205759647304,0.413215854377019,3.46824242078622,0.794348733255258,0.835709948967653,-3.86668036325292
"Y",-0.431219223726568,0.589891912135483,3.17647418173559,1.55833312669035,2.11212028049815,0.912908812994328,2.76564538242418,-1.97733830895619,-0.565274981243479,-4.43012412237435
"Z",-0.523466712030339,0.675379458053855,3.91309238453802,2.00140895059704,1.76121200138339,1.41801624982123,3.24573060203912,-1.69820939119449,0.0673754054975667,-3.36969736380743
